Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
312,Kody Case (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
313,Terrell Bynum (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
314,Jordan Byrd (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
315,Shaquan Davis (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
316,Cephus Johnson III (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
317,Thayer Thomas (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
318,Jared Wayne (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
319,Grant DuBose (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,WR
320,Jalen Brooks (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
321,Colton Dowell (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
322,Antoine Green (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
323,Matt Landers (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
324,Tyler Scott (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%,2022,WR
325,Kazmeir Allen (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
326,Pokey Wilson (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
327,Elijah Cooks (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
328,Shedrick Jackson (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
329,Thyrick Pitts (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
330,Aron Cruickshank (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
331,Cody Chrest (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
332,Zavier Scott (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
333,Jason Brownlee (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
334,Isaiah Winstead (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
335,T.J. Luther (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
336,Xavier Gipson (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
337,Nikko Remigio (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
338,Ty Scott (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
339,Josh Vann (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
340,Chase Cota (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
341,Mac Hippenhammer (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
342,Tyjon Lindsey (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
343,Oliver Martin (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
344,Tyler Hudson (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
345,Xavier Smith (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
346,Brycen Tremayne (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
347,Jalen Sample (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
348,Zion Bowens (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
349,Xavier Malone (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
350,John Hall (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
351,Keilahn Harris (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
352,Daniel Arias (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
353,Duece Watts (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
