Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
92,Kenny Yeboah (NYJ),2,3,36,18,24,1,0,0,0,0,0,3,3.6,1.2,0.00%,2112,TE
93,Tyler Davis (GB),4,5,35,8.8,22,1,0,0,0,0,0,8,3.5,0.4,0.00%,2113,TE
94,Trevon Wesco (TEN),3,5,35,11.7,19,0,0,0,0,0,0,8,3.5,0.4,0.10%,2114,TE
95,Shane Zylstra (DET),3,7,34,11.3,16,0,0,0,0,0,0,3,3.4,1.1,0.10%,2115,TE
96,Dominique Dafney (TB),2,4,34,17,26,1,0,0,0,0,0,6,3.4,0.6,0.00%,2116,TE
97,Colby Parkinson (SEA),5,8,33,6.6,12,0,0,0,0,0,0,6,3.3,0.6,0.10%,2117,TE
98,Kaden Smith (FA),3,3,33,11,21,1,0,0,0,0,0,4,3.3,0.8,0.00%,2118,TE
99,Jeremy Sprinkle (FA),3,3,31,10.3,11,0,0,0,0,0,0,6,3.1,0.5,0.00%,2119,TE
100,Tommy Hudson (DEN),3,6,31,10.3,14,0,0,0,0,0,0,4,3.1,0.8,0.00%,2120,TE
101,Daniel Brown (FA),2,2,29,14.5,24,1,0,0,0,0,0,3,2.9,1,0.00%,2121,TE
102,Jack Stoll (PHI),4,5,22,5.5,9,0,0,0,0,0,0,6,2.2,0.4,0.10%,2122,TE
103,Cethan Carter (FA),2,2,16,8,8,0,0,0,0,0,0,8,1.6,0.2,0.00%,2123,TE
104,Mitchell Wilcox (CIN),3,5,16,5.3,8,0,0,0,0,0,0,4,1.6,0.4,0.00%,2124,TE
105,Derek Carrier (FA),2,2,13,6.5,9,0,0,0,0,0,0,2,1.3,0.7,0.00%,2125,TE
106,Luke Stocker (FA),2,2,12,6,7,0,0,0,0,0,0,6,1.2,0.2,0.00%,2126,TE
107,Richard Rodgers (FA),2,2,11,5.5,9,0,0,0,0,0,0,1,1.1,1.1,0.00%,2127,TE
108,Demetrius Harris (FA),3,6,10,3.3,7,0,0,0,0,0,0,10,1,0.1,0.00%,2128,TE
109,Johnny Mundt (MIN),1,1,9,9,9,0,0,0,0,0,0,3,0.9,0.3,0.10%,2129,TE
110,Brycen Hopkins (LAR),1,1,9,9,9,0,0,0,0,0,0,1,0.9,0.9,0.10%,2130,TE
111,Ethan Wolf (FA),2,2,8,4,4,0,0,0,0,0,0,1,0.8,0.8,0.00%,2131,TE
112,Hunter Long (LAR),1,3,8,8,8,0,0,0,0,0,0,3,0.8,0.3,0.10%,2132,TE
113,Kevin Rader (TEN),2,3,8,4,7,0,0,0,0,0,0,3,0.8,0.3,0.00%,2133,TE
114,Eric Tomlinson (HOU),1,2,7,7,7,0,0,0,0,0,0,7,0.7,0.1,0.00%,2134,TE
115,Nick Boyle (FA),1,2,2,2,2,0,0,0,0,0,0,2,0.2,0.1,0.00%,2135,TE
116,Matthew Orzech (GB),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2136,TE
117,Jared Pinkney (CHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2137,TE
118,Antonio Gandy-Golden (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2138,TE
119,J.J. Arcega-Whiteside (ATL),2,5,36,18,23,1,0,0,0,0,0,7,0,0,0.00%,2139,TE
120,Andrew Beck (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2140,TE
121,Jody Fortson (KC),5,5,47,9.4,27,1,2,0,0,0,0,4,0,0,0.10%,2141,TE
122,Farrod Green (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2142,TE
123,Feleipe Franks (ATL),0,0,0,0,0,0,0,3,6,0,0,6,0,0,0.00%,2143,TE
124,Stephen Sullivan (CAR),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2144,TE
125,Noah Togiai (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2145,TE
126,Ben Ellefson (FA),0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2146,TE
127,Giovanni Ricci (CAR),0,2,0,0,0,0,0,0,0,0,0,9,0,0,0.00%,2147,TE
128,Reggie Gilliam (BUF),3,5,23,7.7,8,0,0,3,3,0,0,8,0,0,0.10%,2148,TE
129,Rashod Berry (IND),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%,2149,TE
130,Miller Forristall (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2150,TE
131,Jake Hausmann (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2151,TE
132,Nick Ralston (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2152,TE
133,Briley Moore (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2153,TE
134,Jacob Harris (JAC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2154,TE
135,Sammis Reyes (JAC),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2155,TE
136,Clark Harris (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2156,TE
137,Darrell Daniels (DET),1,4,0,0,0,0,0,0,0,0,0,10,0,0,0.00%,2157,TE
138,J.P. Holtz (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%,2158,TE
139,Deon Yelder (FA),1,1,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2159,TE
140,Codey McElroy (FA),0,1,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2160,TE
141,Taysom Hill (NO),4,6,52,13,15,0,0,70,374,5,0,12,0,0,19.00%,2161,TE
142,Colin Thompson (MIN),0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2162,TE
143,James Winchester (KC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2163,TE
144,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%,2164,TE
145,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%,2165,TE
146,Daniel Helm (DET),1,2,-1,-1,0,0,0,0,0,0,0,3,-0.1,0,0.00%,2166,TE
