Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
228,Doug Baldwin (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
229,Kamar Aiken (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
230,Jeremy Ross (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
231,Brian Quick (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
232,Martavis Bryant (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
233,Kelvin Benjamin (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10%,2019,WR
234,Jordy Nelson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10%,2019,WR
235,James Jones (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
236,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%,2019,WR
237,Brandon Tate (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
238,Brandon Marshall (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.60%,2019,WR
239,Darrius Heyward-Bey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
240,Jeremy Kerley (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
241,Torrey Smith (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
242,A.J. Green (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.60%,2019,WR
243,Pierre Garcon (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
244,Mike Wallace (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
245,Brandon LaFell (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
246,Riley McCarron (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
247,Justin Hardee (NYJ),0,1,0,0,0,0,0,0,0,0,0,16,0,0,0.00%,2019,WR
248,JoJo Natson (FA),0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.00%,2019,WR
249,Chad Williams (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
250,Gehrig Dieter (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2019,WR
251,Victor Bolden Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
252,Deante Burton (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2019,WR
253,Marcus Kemp (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
254,Josh Malone (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2019,WR
255,Andy Jones (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
256,Jaydon Mickens (NYG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
257,Max McCaffrey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
258,Keon Hatcher (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
259,Jehu Chesson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
260,Noah Brown (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.60%,2019,WR
261,Taywan Taylor (FA),0,1,0,0,0,0,0,0,0,0,0,4,0,0,0.00%,2019,WR
262,Mose Frazier (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
263,Janarion Grant (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
264,Saeed Blacknall (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
265,Rico Gafford (FA),2,2,66,33,49,3,1,0,0,0,0,4,0,0,0.00%,2019,WR
266,Keith Kirkwood (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
267,John Franklin III (FA),0,0,0,0,0,0,0,1,11,0,0,1,0,0,0.00%,2019,WR
268,Cam Phillips (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
269,J'Mon Moore (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
270,Jester Weah (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
