SEASON,TEAM,NFL,NFL_TEAM_ID,ESPN,PFR,PFF,PFFLABEL,FO,FULL,LOCATION,SHORT_LOCATION,NICKNAME,HYPHENATED,TEAM_SEASON
2019,SF,SF,4500,SF,SFO,28.0,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,San-Francisco-49Ers,2019_SF
2019,TB,TB,4900,TB,TAM,30.0,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,Tampa-Bay-Buccaneers,2019_TB
2019,TEN,TEN,2100,TEN,OTI,31.0,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,Tennessee-Titans,2019_TEN
2019,WAS,WAS,5110,WSH,WAS,32.0,WAS,WAS,Washington Redskins,Washington,Washington,Redskins,Washington-Redskins,2019_WAS
2020,ARI,ARI,3800,ARI,CRD,1.0,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,Arizona-Cardinals,2020_ARI
2020,ATL,ATL,200,ATL,ATL,2.0,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,Atlanta-Falcons,2020_ATL
2020,BAL,BAL,325,BAL,RAV,3.0,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,Baltimore-Ravens,2020_BAL
2020,BUF,BUF,610,BUF,BUF,4.0,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,Buffalo-Bills,2020_BUF
2020,CAR,CAR,750,CAR,CAR,5.0,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,Carolina-Panthers,2020_CAR
2020,CHI,CHI,810,CHI,CHI,6.0,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,Chicago-Bears,2020_CHI
2020,CIN,CIN,920,CIN,CIN,7.0,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,Cincinnati-Bengals,2020_CIN
2020,CLE,CLE,1050,CLE,CLE,8.0,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,Cleveland-Browns,2020_CLE
2020,DAL,DAL,1200,DAL,DAL,9.0,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,Dallas-Cowboys,2020_DAL
2020,DEN,DEN,1400,DEN,DEN,10.0,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,Denver-Broncos,2020_DEN
2020,DET,DET,1540,DET,DET,11.0,DET,DET,Detroit Lions,Detroit,Detroit,Lions,Detroit-Lions,2020_DET
2020,GB,GB,1800,GB,GNB,12.0,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,Green-Bay-Packers,2020_GB
2020,HOU,HOU,2120,HOU,HTX,13.0,HST,HOU,Houston Texans,Houston,Houston,Texans,Houston-Texans,2020_HOU
2020,IND,IND,2200,IND,CLT,14.0,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,Indianapolis-Colts,2020_IND
2020,JAX,JAC,2250,JAX,JAX,15.0,JAX,JAX,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,Jacksonville-Jaguars,2020_JAX
2020,KC,KC,2310,KC,KAN,16.0,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,Kansas-City-Chiefs,2020_KC
2020,LAC,LAC,4400,LAC,SDG,27.0,LAC,LAC,Los Angeles Chargers,Los Angeles Chargers,LA Chargers,Chargers,Los-Angeles-Chargers,2020_LAC
2020,LA,LA,2510,LAR,RAM,26.0,LA,LAR,Los Angeles Rams,Los Angeles Rams,LA Rams,Rams,Los-Angeles-Rams,2020_LA
2020,LV,LV,2520,LV,RAI,23.0,LV,LV,Las Vegas Raiders,Las Vegas,Las Vegas,Raiders,Las-Vegas-Raiders,2020_LV
2020,MIA,MIA,2700,MIA,MIA,17.0,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,Miami-Dolphins,2020_MIA
2020,MIN,MIN,3000,MIN,MIN,18.0,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,Minnesota-Vikings,2020_MIN
2020,NE,NE,3200,NE,NWE,19.0,NE,NE,New England Patriots,New England,New England,Patriots,New-England-Patriots,2020_NE
2020,NO,NO,3300,NO,NOR,20.0,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,New-Orleans-Saints,2020_NO
2020,NYG,NYG,3410,NYG,NYG,21.0,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,New-York-Giants,2020_NYG
2020,NYJ,NYJ,3430,NYJ,NYJ,22.0,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,New-York-Jets,2020_NYJ
