YEAR,NAME,ALIAS,VENUE_NAME,SURFACE,ROOF_TYPE,STATE
2021,Dallas Cowboys,DAL,AT&T Stadium,Artificial,Retractable_dome,TX
2021,Green Bay Packers,GB,Lambeau Field,Grass,Outdoor,WI
2021,Pittsburgh Steelers,PIT,Acrisure Stadium,Grass,Outdoor,PA
2021,Denver Broncos,DEN,Empower Field at Mile High,Grass,Outdoor,CO
2021,Philadelphia Eagles,PHI,Lincoln Financial Field,Grass,Outdoor,PA
2021,Baltimore Ravens,BAL,M&T Bank Stadium,Grass,Outdoor,MD
2021,New York Giants,NYG,MetLife Stadium,Artificial,Outdoor,NY
2021,Minnesota Vikings,MIN,U.S. Bank Stadium,Artificial,Dome,MN
2021,Houston Texans,HOU,NRG Stadium,Artificial,Retractable_dome,TX
2021,Detroit Lions,DET,Ford Field,Artificial,Dome,MI
2021,Buffalo Bills,BUF,Highmark Stadium,Artificial,Outdoor,NY
2021,Tampa Bay Buccaneers,TB,Raymond James Stadium,Grass,Outdoor,FL
2021,Los Angeles Rams,LA,SoFi Stadium,Artificial,Outdoor,CA
2021,Miami Dolphins,MIA,Hard Rock Stadium,Grass,Outdoor,FL
2021,Las Vegas Raiders,LV,Allegiant Stadium,Grass,Dome,NV
2022,Los Angeles Rams,LA,SoFi Stadium,Artificial,Outdoor,CA
2022,Atlanta Falcons,ATL,Mercedes-Benz Stadium,Artificial,Retractable_dome,GA
2022,New York Jets,NYJ,MetLife Stadium,Artificial,Outdoor,NY
2022,Cincinnati Bengals,CIN,Paycor Stadium,Artificial,Outdoor,OH
2022,Miami Dolphins,MIA,Hard Rock Stadium,Grass,Outdoor,FL
2022,Washington Commanders,WAS,FedExField,Grass,Outdoor,MD
2022,Chicago Bears,CHI,Soldier Field,Grass,Outdoor,IL
2022,Houston Texans,HOU,NRG Stadium,Artificial,Retractable_dome,TX
2022,Detroit Lions,DET,Ford Field,Artificial,Dome,MI
2022,Los Angeles Chargers,LAC,SoFi Stadium,Artificial,Outdoor,CA
2022,Minnesota Vikings,MIN,U.S. Bank Stadium,Artificial,Dome,MN
2022,Tennessee Titans,TEN,Nissan Stadium,Grass,Outdoor,TN
2022,Dallas Cowboys,DAL,AT&T Stadium,Artificial,Retractable_dome,TX
2022,Seattle Seahawks,SEA,Lumen Field,Artificial,Outdoor,WA
2022,Kansas City Chiefs,KC,GEHA Field at Arrowhead Stadium,Grass,Outdoor,MO
2022,New York Giants,NYG,MetLife Stadium,Artificial,Outdoor,NY
2022,Pittsburgh Steelers,PIT,Acrisure Stadium,Grass,Outdoor,PA
2022,New Orleans Saints,NO,Caesars Superdome,Artificial,Dome,LA
2022,Baltimore Ravens,BAL,M&T Bank Stadium,Grass,Outdoor,MD
2022,San Francisco 49ers,SF,Levi's Stadium,Grass,Outdoor,CA
2022,Denver Broncos,DEN,Empower Field at Mile High,Grass,Outdoor,CO
2022,Las Vegas Raiders,LV,Allegiant Stadium,Grass,Dome,NV
2022,Green Bay Packers,GB,Lambeau Field,Grass,Outdoor,WI
2022,Buffalo Bills,BUF,Highmark Stadium,Artificial,Outdoor,NY
2022,Philadelphia Eagles,PHI,Lincoln Financial Field,Grass,Outdoor,PA
2022,Cleveland Browns,CLE,Cleveland Browns Stadium,Grass,Outdoor,OH
2022,Indianapolis Colts,IND,Lucas Oil Stadium,Artificial,Retractable_dome,IN
2022,Carolina Panthers,CAR,Bank of America Stadium,Artificial,Outdoor,NC
2022,New England Patriots,NE,Gillette Stadium,Artificial,Outdoor,MA
2022,Tampa Bay Buccaneers,TB,Raymond James Stadium,Grass,Outdoor,FL
2022,Jacksonville Jaguars,JAC,EverBank Stadium,Grass,Outdoor,FL
2022,Arizona Cardinals,ARI,State Farm Stadium,Grass,Retractable_dome,AZ
2023,Arizona Cardinals,ARI,State Farm Stadium,Grass,Retractable_dome,AZ
2023,Los Angeles Rams,LA,SoFi Stadium,Artificial,Outdoor,CA
2023,Pittsburgh Steelers,PIT,Acrisure Stadium,Grass,Outdoor,PA
